run,loss_type,optimizer,dropout,best_epoch,val_auc,val_logloss,test_auc,test_logloss
with-reg,focal,adamw,0.2,4,0.76238419103068,0.4803895652294159,0.7718100597252576,0.4773463010787964
no-reg,focal,adamw,0.0,2,0.7614890705942059,0.5008531212806702,0.7722512578015333,0.4983147084712982
