run,loss_type,optimizer,dropout,best_epoch,val_auc,val_logloss,test_auc,test_logloss
adam,focal,adam,0.2,4,0.7641758534176359,0.4918663203716278,0.7731055010425157,0.48959365487098694
adamw,focal,adamw,0.2,4,0.7623841650273749,0.4803895056247711,0.7718100510574895,0.4773463010787964
