run,loss_type,optimizer,dropout,best_epoch,val_auc,val_logloss,test_auc,test_logloss
BCE+AdamW,bce,adamw,0.2,4,0.7624941936786833,0.512287974357605,0.7705678125023024,0.5066132545471191
Focal+AdamW,focal,adamw,0.2,4,0.7623841650273749,0.4803895056247711,0.7718100510574895,0.4773463010787964
Focal+Adam,focal,adam,0.2,4,0.7641758534176359,0.4918663203716278,0.7731055010425157,0.48959365487098694
Focal+AdamW (no reg),focal,adamw,0.0,2,0.7614890705942059,0.5008531212806702,0.7722512578015333,0.4983147084712982
